EAN / UPC;Código Maestro;Código Producto;Código Completo (SKU);Marca;Descripción Maestra;Descripción Color;Coste;PVPR;PVPR - Dto1;Dto1;Dto2;Dto3;Dto. Equivalente;Cantidad mínima;Cantidad múltiplo;Cantidad por pack;Stock;Stock 15 días
8050459899702;07220900;07220900 741;07220900 741 230;ROLLERBLADE;PATINES TWISTER 110;BLACK/RED;176,40;359,99;359,99;0,00;51,00;0,00;51,00;1;1;1;1;0
8050459899726;07220900;07220900 741;07220900 741 250;ROLLERBLADE;PATINES TWISTER 110;BLACK/RED;176,40;359,99;359,99;0,00;51,00;0,00;51,00;1;1;1;15;0
8050459899856;07221000;07221000 1A1;07221000 1A1 290;ROLLERBLADE;PATINES TWISTER XT;BLACK/LIME;166,60;339,99;339,99;0,00;51,00;0,00;51,00;1;1;1;6;0
8050459899849;07221000;07221000 1A1;07221000 1A1 280;ROLLERBLADE;PATINES TWISTER XT;BLACK/LIME;166,60;339,99;339,99;0,00;51,00;0,00;51,00;1;1;1;7;0
8050459899863;07221000;07221000 1A1;07221000 1A1 300;ROLLERBLADE;PATINES TWISTER XT;BLACK/LIME;166,60;339,99;339,99;0,00;51,00;0,00;51,00;1;1;1;7;0
8050459899870;07221000;07221000 1A1;07221000 1A1 310;ROLLERBLADE;PATINES TWISTER XT;BLACK/LIME;166,60;339,99;339,99;0,00;51,00;0,00;51,00;1;1;1;3;0
8050459899795;07221000;07221000 1A1;07221000 1A1 230;ROLLERBLADE;PATINES TWISTER XT;BLACK/LIME;166,60;339,99;339,99;0,00;51,00;0,00;51,00;1;1;1;0;0
8050459899832;07221000;07221000 1A1;07221000 1A1 270;ROLLERBLADE;PATINES TWISTER XT;BLACK/LIME;166,60;339,99;339,99;0,00;51,00;0,00;51,00;1;1;1;5;0
8050459899801;07221000;07221000 1A1;07221000 1A1 240;ROLLERBLADE;PATINES TWISTER XT;BLACK/LIME;166,60;339,99;339,99;0,00;51,00;0,00;51,00;1;1;1;4;0
8050459899825;07221000;07221000 1A1;07221000 1A1 260;ROLLERBLADE;PATINES TWISTER XT;BLACK/LIME;166,60;339,99;339,99;0,00;51,00;0,00;51,00;1;1;1;14;0
8050459899818;07221000;07221000 1A1;07221000 1A1 250;ROLLERBLADE;PATINES TWISTER XT;BLACK/LIME;166,60;339,99;339,99;0,00;51,00;0,00;51,00;1;1;1;2;0
8050459899900;07221100;07221100 2A2;07221100 2A2 250;ROLLERBLADE;PATINES TWISTER XT W;BLACK/MINT;166,60;339,99;339,99;0,00;51,00;0,00;51,00;1;1;1;15;0
8050459899917;07221100;07221100 2A2;07221100 2A2 260;ROLLERBLADE;PATINES TWISTER XT W;BLACK/MINT;166,60;339,99;339,99;0,00;51,00;0,00;51,00;1;1;1;15;0
8050459899924;07221100;07221100 2A2;07221100 2A2 270;ROLLERBLADE;PATINES TWISTER XT W;BLACK/MINT;166,60;339,99;339,99;0,00;51,00;0,00;51,00;1;1;1;0;0
8050459899894;07221100;07221100 2A2;07221100 2A2 240;ROLLERBLADE;PATINES TWISTER XT W;BLACK/MINT;166,60;339,99;339,99;0,00;51,00;0,00;51,00;1;1;1;13;0
8050459899887;07221100;07221100 2A2;07221100 2A2 230;ROLLERBLADE;PATINES TWISTER XT W;BLACK/MINT;166,60;339,99;339,99;0,00;51,00;0,00;51,00;1;1;1;4;0
8050459900293;07221400;07221400 1A1;07221400 1A1 235;ROLLERBLADE;PATINES APEX 3WD;BLACK/LIME;73,50;149,99;149,99;0,00;51,00;0,00;51,00;1;1;1;15;0
8050459900279;07221400;07221400 1A1;07221400 1A1 185;ROLLERBLADE;PATINES APEX 3WD;BLACK/LIME;73,50;149,99;149,99;0,00;51,00;0,00;51,00;1;1;1;15;0
8050459900286;07221400;07221400 1A1;07221400 1A1 210;ROLLERBLADE;PATINES APEX 3WD;BLACK/LIME;73,50;149,99;149,99;0,00;51,00;0,00;51,00;1;1;1;15;0
8050459907124;07222600;07222600 100;07222600 100 300;ROLLERBLADE;PATINES BLANK SK;BLACK;166,60;339,99;339,99;0,00;51,00;0,00;51,00;1;1;1;0;0
8050459907063;07222600;07222600 100;07222600 100 240;ROLLERBLADE;PATINES BLANK SK;BLACK;166,60;339,99;339,99;0,00;51,00;0,00;51,00;1;1;1;0;0
8050459907094;07222600;07222600 100;07222600 100 270;ROLLERBLADE;PATINES BLANK SK;BLACK;166,60;339,99;339,99;0,00;51,00;0,00;51,00;1;1;1;15;0
8050459907087;07222600;07222600 100;07222600 100 260;ROLLERBLADE;PATINES BLANK SK;BLACK;166,60;339,99;339,99;0,00;51,00;0,00;51,00;1;1;1;15;0
8050459907100;07222600;07222600 100;07222600 100 280;ROLLERBLADE;PATINES BLANK SK;BLACK;166,60;339,99;339,99;0,00;51,00;0,00;51,00;1;1;1;15;0
8050459907070;07222600;07222600 100;07222600 100 250;ROLLERBLADE;PATINES BLANK SK;BLACK;166,60;339,99;339,99;0,00;51,00;0,00;51,00;1;1;1;15;0
8050459928198;06640000;06640000 100;06640000 100;ROLLERBLADE;RUEDAS HYDROGEN SPECTRE 80/85A (4PCS);BLACK;29,40;59,99;59,99;0,00;51,00;0,00;51,00;1;1;1;0;0
8050459910117;067V0900;067V0900 100;067V0900 100;ROLLERBLADE;GUIAS 231 FRAME 3X84/4X76 (1PR);BLACK;29,40;59,99;59,99;0,00;51,00;0,00;51,00;1;1;1;3;0
8050459910124;067V1000;067V1000 100;067V1000 100;ROLLERBLADE;GUIAS 219 FRAME 3X80/4X72 (1PR);BLACK;29,40;59,99;59,99;0,00;51,00;0,00;51,00;1;1;1;0;0
8050459928242;067V2000;067V2000 100;067V2000 100;ROLLERBLADE;GUIAS 280 RB FRAME 4X90 (1PR);BLACK;58,80;119,99;119,99;0,00;51,00;0,00;51,00;1;1;1;3;0
8050459910230;069T2100;069T2100 100;069T2100 100 280;ROLLERBLADE;PLACAS BLANK;BLACK;29,40;59,99;59,99;0,00;51,00;0,00;51,00;1;1;1;1;0
8050459910223;069T2100;069T2100 100;069T2100 100 270;ROLLERBLADE;PLACAS BLANK;BLACK;29,40;59,99;59,99;0,00;51,00;0,00;51,00;1;1;1;2;0
8050459963045;069T2100;069T2100 100;069T2100 100 300;ROLLERBLADE;PLACAS BLANK;BLACK;29,40;59,99;59,99;0,00;51,00;0,00;51,00;1;1;1;0;0
8050459963021;069T2100;069T2100 100;069T2100 100 240;ROLLERBLADE;PLACAS BLANK;BLACK;29,40;59,99;59,99;0,00;51,00;0,00;51,00;1;1;1;0;0
8050459910216;069T2100;069T2100 100;069T2100 100 260;ROLLERBLADE;PLACAS BLANK;BLACK;29,40;59,99;59,99;0,00;51,00;0,00;51,00;1;1;1;0;0
8050459963038;069T2100;069T2100 100;069T2100 100 250;ROLLERBLADE;PLACAS BLANK;BLACK;29,40;59,99;59,99;0,00;51,00;0,00;51,00;1;1;1;0;0
